@RELATION trainedClassifier/svmLapelModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {lapel-speech,boundry_speech}

@DATA
0.054394,0.010588,2.944928,0.118101,0.149077,0.521448,0.015402,0.087750,-27.142463,1.180636,0.740695,-0.232639,-0.838777,0.096803,0.081018,0.142229,-0.239506,-0.089909,0.018519,0.089049,-0.089528,0.008104,0.007281,0.017271,0.012256,0.040918,0.014327,0.037642,0.002891,0.009985,0.008050,0.009693,0.005168,0.023562,0.040415,0.012025,0.382228,0.036540,0.034831,0.399834,0.013798,0.064597,2.561589,0.933862,0.667074,0.511506,0.468797,0.340496,0.345407,0.283582,0.286706,0.270663,0.260420,0.243576,0.201079,0.010481,0.010206,0.017246,0.017861,0.038665,0.024994,0.044761,0.005276,0.015229,0.011304,0.011256,0.008593,0.013654,lapel-speech
0.052046,0.014490,3.025159,0.114870,0.147296,0.488878,0.019006,0.084131,-26.831613,1.171020,0.697701,-0.314624,-0.857590,0.082221,0.039735,0.128274,-0.202173,-0.050865,0.010477,0.101272,-0.113051,0.011733,0.006173,0.015283,0.010535,0.036386,0.013157,0.031763,0.002286,0.010161,0.012780,0.012049,0.007112,0.024253,0.034606,0.016416,0.314149,0.033410,0.034001,0.352459,0.018663,0.057851,2.490878,0.882714,0.708617,0.526528,0.447711,0.345432,0.334812,0.271469,0.247051,0.257597,0.252046,0.241741,0.245484,0.016435,0.009784,0.018153,0.015117,0.038038,0.020187,0.039744,0.003669,0.015963,0.016409,0.015204,0.011198,0.013596,lapel-speech
0.056835,0.011006,2.976427,0.118880,0.145837,0.542655,0.014166,0.094132,-27.081854,1.054189,0.710950,-0.316105,-0.900088,0.114555,0.060699,0.127064,-0.191877,-0.051626,0.038730,0.087808,-0.126890,0.012023,0.007290,0.016386,0.011054,0.033722,0.012149,0.027665,0.002815,0.008042,0.011810,0.014156,0.008641,0.021996,0.036594,0.012109,0.365409,0.033868,0.033520,0.378945,0.011894,0.060574,2.482797,0.900696,0.664521,0.511527,0.428301,0.333538,0.331254,0.271379,0.274454,0.252092,0.253131,0.251092,0.260532,0.015990,0.011153,0.018656,0.014936,0.032608,0.017404,0.031871,0.004622,0.011555,0.015132,0.017807,0.013909,0.012403,lapel-speech
0.051103,0.009361,3.010507,0.115159,0.146394,0.488192,0.016271,0.083515,-27.250674,1.200801,0.720343,-0.275065,-0.831495,0.064564,0.081696,0.140299,-0.193557,-0.013826,0.035680,0.113472,-0.108180,0.009958,0.007390,0.013801,0.009137,0.040445,0.012788,0.032088,0.002781,0.008985,0.013792,0.012657,0.006988,0.023617,0.033567,0.010859,0.314558,0.035194,0.033353,0.359950,0.014642,0.059442,2.451540,0.928289,0.748424,0.489832,0.432165,0.318594,0.337139,0.247884,0.276091,0.238217,0.236083,0.249167,0.236683,0.014344,0.012238,0.015673,0.013435,0.038867,0.019405,0.037008,0.004717,0.015655,0.018375,0.017038,0.012029,0.011816,lapel-speech
0.052163,0.031401,2.910253,0.119472,0.152769,0.455139,0.015739,0.094087,-25.195035,1.702337,0.684830,-0.233849,-1.222199,0.068509,0.001889,-0.085757,0.012309,0.037490,-0.015291,0.133742,-0.027004,0.014870,0.003784,0.016599,0.008077,0.024223,0.009458,0.021706,0.000915,0.018728,0.027208,0.024125,0.010891,0.024613,0.046946,0.028102,0.421647,0.049165,0.033429,0.475598,0.010566,0.091499,2.859466,0.809172,0.460439,0.516993,0.463590,0.371327,0.317778,0.296772,0.254124,0.257480,0.260919,0.268180,0.283329,0.024669,0.005169,0.022321,0.015050,0.032164,0.020144,0.036881,0.001348,0.027062,0.024984,0.032307,0.018589,0.013509,lapel-speech
0.045819,0.019962,2.934288,0.108564,0.150854,0.427338,0.017524,0.079634,-25.408905,1.711371,0.690066,-0.358496,-0.910799,-0.157765,0.226342,0.082247,-0.191228,0.217597,-0.078267,0.180748,0.000365,0.012060,0.007992,0.018715,0.011251,0.028528,0.014507,0.032576,0.002672,0.015837,0.014386,0.015818,0.009936,0.022300,0.045281,0.017416,0.382041,0.041496,0.034571,0.396964,0.013040,0.075213,2.310604,0.928551,0.559667,0.655966,0.521930,0.353481,0.359789,0.248637,0.340210,0.257640,0.285200,0.205759,0.221362,0.015704,0.012451,0.024209,0.014359,0.032642,0.016947,0.040883,0.004629,0.018166,0.016160,0.020608,0.015112,0.011908,lapel-speech
0.054917,0.020195,3.023604,0.123789,0.162394,0.379080,0.019062,0.076485,-26.875586,1.528819,0.230299,-0.193217,-0.877187,-0.089789,-0.031628,-0.061887,-0.264673,-0.303369,-0.050691,-0.020538,-0.012054,0.013368,0.006909,0.023985,0.025717,0.040155,0.015537,0.025093,0.002276,0.009216,0.009101,0.009811,0.005624,0.027709,0.041583,0.022381,0.353054,0.041962,0.034684,0.406191,0.016227,0.073443,2.523339,1.000714,0.636188,0.624222,0.411827,0.355970,0.341478,0.363455,0.357309,0.367743,0.391495,0.347207,0.300484,0.022915,0.012238,0.028690,0.035891,0.043067,0.023786,0.032885,0.004577,0.015354,0.013929,0.014530,0.009589,0.014809,lapel-speech
0.063746,0.022127,3.040797,0.125942,0.155451,0.493215,0.015544,0.097161,-26.323849,1.248672,0.375409,-0.331119,-0.918730,0.097895,-0.096952,0.067563,-0.390600,-0.317511,-0.212225,-0.116912,-0.124339,0.017278,0.009305,0.031219,0.026719,0.031038,0.014598,0.015723,0.002869,0.005216,0.005717,0.009547,0.006202,0.025910,0.047908,0.022870,0.328558,0.046068,0.036121,0.444608,0.011826,0.082569,2.556998,1.034954,0.644071,0.662274,0.399840,0.340648,0.351841,0.341801,0.364873,0.373307,0.393814,0.354727,0.370057,0.029493,0.014777,0.036570,0.033023,0.040782,0.022328,0.023448,0.004317,0.008236,0.010272,0.015833,0.013460,0.014275,lapel-speech
0.050726,0.016217,3.049305,0.119851,0.159336,0.345653,0.020810,0.072321,-26.887037,1.255698,0.354767,-0.039910,-0.853319,0.019816,-0.053879,-0.079771,-0.270150,-0.287179,-0.062054,-0.066420,-0.079451,0.013864,0.006378,0.025936,0.021904,0.045480,0.012823,0.033404,0.002355,0.007421,0.006734,0.008889,0.005342,0.028492,0.034053,0.017904,0.297432,0.036436,0.034708,0.330731,0.020961,0.062621,2.283701,0.994813,0.562968,0.582999,0.391087,0.342642,0.340321,0.333773,0.322347,0.357051,0.363100,0.341307,0.310666,0.021063,0.009493,0.030652,0.032299,0.044638,0.021467,0.046189,0.004160,0.012122,0.010541,0.014065,0.009214,0.015183,lapel-speech
0.056790,0.016830,3.023827,0.129989,0.165561,0.435676,0.017925,0.079779,-27.433934,1.417789,0.404731,-0.200066,-0.807864,-0.000601,-0.009533,0.041147,-0.226039,-0.222530,-0.014513,-0.067689,-0.123613,0.016063,0.007391,0.023623,0.016100,0.042605,0.011866,0.029062,0.003070,0.006994,0.007860,0.013560,0.006429,0.026879,0.047129,0.020154,0.322738,0.044175,0.034834,0.438634,0.015966,0.080305,2.821237,0.979033,0.577498,0.608295,0.426353,0.346693,0.314641,0.315631,0.313398,0.325656,0.369631,0.325024,0.314707,0.024401,0.013246,0.027059,0.025571,0.040050,0.018293,0.039248,0.006471,0.010572,0.012867,0.020473,0.010393,0.014555,lapel-speech
0.039573,0.032703,3.078912,0.121226,0.164002,0.286176,0.023513,0.051520,-25.453832,1.269567,0.513806,0.004873,-0.705657,0.141300,0.106273,0.003240,-0.011178,-0.129992,0.005723,-0.018279,-0.215784,0.010508,0.004489,0.014138,0.004623,0.082143,0.003434,0.051318,0.001668,0.002598,0.005345,0.011639,0.005799,0.033972,0.030596,0.028844,0.243122,0.035174,0.031408,0.237330,0.026518,0.055258,1.727368,0.800092,0.457150,0.425182,0.418998,0.277891,0.268286,0.280430,0.241278,0.263042,0.258735,0.259948,0.268792,0.014121,0.008532,0.016075,0.008637,0.052941,0.006503,0.067267,0.002629,0.005104,0.008405,0.013459,0.008759,0.015216,lapel-speech
0.059635,0.021935,3.071525,0.138403,0.160270,0.532327,0.016778,0.095990,-26.304802,1.394101,0.893998,-0.417822,-0.775542,0.060927,0.003591,0.060977,-0.125328,-0.211147,-0.021135,-0.069779,-0.126405,0.011635,0.006276,0.018026,0.015330,0.056056,0.007948,0.031383,0.001203,0.005216,0.011781,0.015129,0.007137,0.028526,0.052033,0.023152,0.262457,0.046500,0.029320,0.485300,0.017482,0.099325,2.139990,0.764451,0.513378,0.504960,0.385918,0.331595,0.278719,0.248541,0.261533,0.255282,0.272052,0.271106,0.245937,0.016262,0.009830,0.019644,0.020537,0.047565,0.013264,0.044838,0.001971,0.008352,0.018151,0.018815,0.012974,0.014305,lapel-speech
0.041316,0.017145,3.061267,0.126116,0.163100,0.341800,0.022384,0.067907,-25.830669,1.626319,0.534038,-0.189408,-0.866103,0.042129,0.040657,-0.042816,-0.240002,-0.208248,0.022995,-0.071624,-0.079690,0.018375,0.005590,0.017924,0.014588,0.071276,0.012973,0.042523,0.001687,0.005093,0.003947,0.008579,0.007712,0.032148,0.036720,0.015240,0.237715,0.043437,0.030981,0.365268,0.023081,0.078158,1.998322,0.723499,0.533036,0.487702,0.443894,0.318522,0.309666,0.288610,0.341512,0.335527,0.291310,0.291915,0.307001,0.024756,0.010135,0.021543,0.023389,0.049609,0.021175,0.053969,0.002801,0.009043,0.006691,0.012191,0.013659,0.013758,lapel-speech
0.047496,0.025423,3.084659,0.125056,0.160336,0.419641,0.016353,0.076282,-25.610209,1.157870,0.545725,-0.425175,-0.825410,-0.146184,-0.141886,-0.255852,-0.282319,0.059694,0.199656,0.132030,0.002502,0.006651,0.003294,0.012687,0.013106,0.046792,0.010811,0.041268,0.003150,0.013606,0.016989,0.009679,0.004485,0.028913,0.031732,0.026507,0.226994,0.036453,0.030836,0.346445,0.013477,0.062140,1.937343,0.715803,0.611798,0.639491,0.433377,0.412372,0.395772,0.344663,0.326514,0.368841,0.354190,0.368193,0.295379,0.012836,0.006617,0.015796,0.023379,0.046091,0.018814,0.051799,0.005904,0.018872,0.028307,0.015114,0.008695,0.014134,lapel-speech
0.063455,0.012595,2.999349,0.130922,0.156306,0.511422,0.016901,0.096581,-27.194422,1.244467,0.555105,0.112927,-1.052642,0.232439,0.126388,0.067602,-0.359711,-0.050599,-0.252254,-0.041792,-0.217373,0.015587,0.008160,0.024581,0.014830,0.036116,0.009508,0.030056,0.003195,0.005351,0.008610,0.013603,0.006288,0.024197,0.046645,0.012820,0.337694,0.043738,0.028401,0.418408,0.015403,0.077123,2.375202,0.789139,0.606362,0.391437,0.457928,0.319197,0.322012,0.288862,0.326633,0.285956,0.325136,0.297901,0.306632,0.020434,0.011530,0.024470,0.017555,0.032241,0.014262,0.034555,0.005810,0.008162,0.012090,0.017794,0.008886,0.012676,lapel-speech
0.048423,0.023323,3.018073,0.112958,0.150533,0.364159,0.014941,0.073376,-25.902046,1.514017,0.424100,-0.020116,-1.036302,0.157283,0.156101,0.104564,-0.314972,0.121698,-0.217147,0.016309,-0.235964,0.014412,0.009273,0.022272,0.012832,0.027948,0.008710,0.033776,0.002537,0.011612,0.015485,0.013395,0.008878,0.024724,0.036830,0.020457,0.322533,0.036163,0.032664,0.343186,0.011318,0.059735,2.735065,0.864041,0.751749,0.463397,0.511639,0.328278,0.381999,0.323863,0.364830,0.303065,0.324375,0.261272,0.298583,0.019116,0.015106,0.022171,0.018987,0.034548,0.015840,0.047274,0.005426,0.015857,0.020945,0.017700,0.014140,0.013808,lapel-speech
0.056161,0.016715,2.985673,0.128251,0.162413,0.429887,0.014221,0.081796,-27.296718,1.606152,0.650663,0.141474,-0.962595,0.213995,0.135378,0.164306,-0.230720,0.042126,-0.112872,0.050031,-0.170675,0.016022,0.007381,0.024087,0.010136,0.038788,0.008410,0.041232,0.002042,0.005960,0.013743,0.019694,0.007312,0.025695,0.040348,0.016829,0.324309,0.040189,0.031794,0.360251,0.011788,0.067432,2.478617,0.746974,0.556026,0.378668,0.474005,0.297454,0.321438,0.248114,0.303695,0.262067,0.281706,0.269178,0.260221,0.020118,0.011555,0.023821,0.013747,0.034725,0.012133,0.042842,0.003524,0.008992,0.015565,0.021158,0.011047,0.012254,lapel-speech
0.056169,0.016952,2.960007,0.122468,0.156057,0.426439,0.013575,0.083947,-27.122475,1.526476,0.633993,0.104700,-1.055281,0.254671,0.172739,0.061399,-0.249280,0.002426,-0.195504,0.071680,-0.238713,0.021135,0.006900,0.023401,0.012904,0.033585,0.010311,0.035570,0.002629,0.005908,0.014541,0.018272,0.008930,0.025177,0.038820,0.018268,0.352781,0.039011,0.033210,0.365732,0.009438,0.065472,2.794881,0.800985,0.577412,0.381115,0.514082,0.330871,0.317778,0.259145,0.345658,0.287651,0.305776,0.287537,0.289928,0.025386,0.009539,0.023826,0.017295,0.032956,0.014934,0.036006,0.004601,0.008169,0.016983,0.020625,0.013295,0.012052,lapel-speech
0.034358,0.021814,2.949471,0.109509,0.162069,0.228464,0.022765,0.046484,-26.395609,1.906057,0.613150,0.232533,-0.962900,0.214698,0.184596,0.137929,-0.150961,0.173200,-0.149655,0.056071,-0.185625,0.018504,0.008264,0.021446,0.006789,0.045379,0.006598,0.056273,0.002199,0.006046,0.018418,0.020536,0.008190,0.032637,0.026507,0.022175,0.332900,0.035047,0.035567,0.213872,0.022824,0.038077,2.655809,0.678399,0.568102,0.327807,0.557716,0.269536,0.367735,0.253116,0.286940,0.231213,0.250605,0.261098,0.258994,0.020707,0.013227,0.022136,0.008940,0.042940,0.010560,0.060581,0.005108,0.007631,0.018762,0.021049,0.012725,0.014201,lapel-speech
0.053741,0.016159,3.018062,0.121753,0.156429,0.427679,0.013738,0.080353,-26.719245,1.508141,0.536553,-0.027217,-1.034951,0.169684,0.126145,0.058082,-0.375897,-0.013584,-0.209250,0.051217,-0.201127,0.018914,0.006227,0.021660,0.014763,0.030474,0.014219,0.028443,0.002791,0.007297,0.016775,0.019572,0.007333,0.024601,0.037925,0.015879,0.338053,0.036619,0.031761,0.355125,0.009204,0.063744,2.644654,0.835215,0.626669,0.407730,0.494236,0.336634,0.357009,0.302952,0.357526,0.310659,0.334949,0.334454,0.318639,0.026055,0.010669,0.023286,0.018064,0.032705,0.021426,0.035017,0.005007,0.010949,0.020843,0.022713,0.010994,0.012044,lapel-speech
0.053128,0.023579,2.965345,0.122939,0.159043,0.420205,0.015650,0.078327,-26.212295,1.625982,0.613996,-0.087121,-0.983200,0.067203,0.068104,-0.007208,-0.346918,-0.088403,-0.322504,-0.044881,-0.274292,0.021734,0.008042,0.028469,0.023460,0.031206,0.012398,0.030801,0.002018,0.008761,0.011633,0.017345,0.008140,0.027411,0.039555,0.020932,0.370688,0.038731,0.031225,0.379404,0.011888,0.068191,2.128510,0.801398,0.635238,0.390915,0.472026,0.325851,0.383450,0.354506,0.360980,0.329196,0.362944,0.365679,0.321919,0.027491,0.014668,0.028181,0.032189,0.031532,0.019312,0.035771,0.003613,0.015332,0.016255,0.023998,0.014178,0.012223,lapel-speech
0.050000,0.011064,3.009452,0.117022,0.152834,0.372262,0.017441,0.080614,-26.611209,1.821589,0.580646,0.041901,-1.064091,0.102536,0.202970,0.051420,-0.186483,-0.067642,-0.029718,0.069092,0.006460,0.011274,0.006854,0.023120,0.020073,0.049474,0.012576,0.035879,0.002058,0.006364,0.010610,0.011911,0.007322,0.026530,0.046507,0.012368,0.277816,0.049739,0.033036,0.436310,0.015640,0.083898,2.136075,0.819955,0.628840,0.400831,0.502115,0.317001,0.333499,0.254811,0.306049,0.239038,0.218542,0.205523,0.193714,0.015725,0.011035,0.025852,0.027349,0.041859,0.017542,0.042627,0.003882,0.009280,0.013242,0.014795,0.011591,0.013667,lapel-speech
0.053302,0.014335,2.987940,0.119398,0.152976,0.397592,0.017156,0.085214,-26.411023,1.770321,0.629777,-0.002401,-1.106392,0.145715,0.161742,0.076778,-0.201334,-0.068276,-0.016766,0.077631,0.015762,0.011655,0.006808,0.020360,0.017434,0.045155,0.014811,0.037500,0.001834,0.007556,0.011087,0.012417,0.007449,0.025554,0.048177,0.016217,0.305909,0.049315,0.033211,0.447337,0.014994,0.084520,2.400645,0.824388,0.667067,0.415921,0.478211,0.335234,0.311966,0.266679,0.288637,0.235634,0.222572,0.211510,0.199565,0.015735,0.011025,0.022393,0.023517,0.041796,0.019974,0.044525,0.002867,0.011471,0.012876,0.015757,0.011057,0.014342,lapel-speech
0.072934,0.012723,3.076616,0.135976,0.147119,0.678294,0.010129,0.120033,-26.490194,1.259050,1.083056,0.009144,-0.916507,-0.021882,0.069446,0.182482,-0.171406,-0.024879,0.052000,0.021326,-0.119494,0.012103,0.006677,0.017375,0.012470,0.042595,0.009102,0.034788,0.001454,0.006508,0.009774,0.015062,0.007155,0.023198,0.046958,0.012538,0.216484,0.042438,0.028267,0.451027,0.007941,0.081606,1.990425,0.563441,0.579856,0.434097,0.439443,0.307317,0.315349,0.262494,0.268828,0.223053,0.262080,0.236000,0.252931,0.015459,0.010156,0.018045,0.016577,0.036868,0.012457,0.040897,0.002177,0.009703,0.012406,0.018925,0.010836,0.011797,lapel-speech
0.055727,0.010526,3.053041,0.118228,0.151681,0.408049,0.012696,0.086912,-26.452877,1.453930,0.551513,-0.204463,-1.084458,0.147532,0.005597,0.138022,-0.206674,-0.200620,0.036914,-0.033317,-0.182613,0.019823,0.009500,0.017706,0.014088,0.026304,0.010425,0.019306,0.002091,0.006361,0.016023,0.023782,0.009579,0.022065,0.035571,0.012517,0.308483,0.040250,0.032135,0.370193,0.010078,0.068045,1.894570,0.769778,0.594787,0.563956,0.380030,0.335357,0.303089,0.257919,0.280930,0.297212,0.292702,0.294135,0.292492,0.023707,0.014215,0.018431,0.020070,0.028006,0.013850,0.023472,0.003297,0.007926,0.018769,0.028465,0.014828,0.011719,lapel-speech
0.054557,0.005508,3.035326,0.118753,0.155899,0.383471,0.011313,0.083469,-27.403149,1.499465,0.577549,-0.101032,-1.051584,0.148236,0.036045,0.136001,-0.192691,-0.208603,0.088187,0.019446,-0.120692,0.016463,0.007926,0.017282,0.011150,0.035641,0.012432,0.024187,0.001778,0.007374,0.016941,0.019596,0.007602,0.021852,0.032544,0.007108,0.321750,0.039001,0.032098,0.331413,0.007624,0.063056,1.999431,0.735864,0.588975,0.536029,0.366396,0.335053,0.294058,0.257687,0.247483,0.275557,0.284996,0.276859,0.271636,0.020379,0.011961,0.016737,0.014749,0.034286,0.015034,0.025564,0.003011,0.009610,0.020195,0.022050,0.011040,0.010514,lapel-speech
0.063264,0.008332,3.059187,0.123024,0.150571,0.496371,0.009560,0.100657,-26.798945,1.039319,0.491600,-0.295679,-1.160143,0.146903,0.064127,0.118667,-0.211216,-0.198718,0.009558,-0.004330,-0.140796,0.014889,0.009841,0.017070,0.013500,0.024730,0.010730,0.017506,0.002535,0.006810,0.012473,0.015872,0.008050,0.018723,0.032444,0.009765,0.315242,0.037593,0.032068,0.350709,0.006473,0.062830,1.918959,0.690895,0.531510,0.521061,0.341203,0.335539,0.310292,0.279902,0.267696,0.283040,0.300836,0.293238,0.277796,0.018019,0.014302,0.017686,0.016981,0.025637,0.013580,0.020092,0.003636,0.009580,0.015674,0.019021,0.012038,0.010424,lapel-speech
0.068680,0.009403,3.079266,0.124703,0.146406,0.558581,0.009022,0.108536,-26.648411,0.743590,0.492816,-0.206467,-1.187460,0.214745,0.040681,0.143875,-0.196646,-0.201516,-0.001772,-0.048806,-0.186896,0.017485,0.008763,0.015881,0.009281,0.024449,0.007804,0.015250,0.002420,0.005383,0.010506,0.014332,0.008789,0.016908,0.030747,0.012367,0.296558,0.034978,0.031998,0.333820,0.006145,0.055692,2.002088,0.680514,0.531711,0.568341,0.333530,0.333726,0.311755,0.267935,0.270638,0.285005,0.283743,0.305033,0.282430,0.021493,0.011888,0.015678,0.011744,0.026801,0.009614,0.017674,0.002965,0.007772,0.013233,0.018346,0.013444,0.010119,lapel-speech
0.066178,0.007176,3.061756,0.141757,0.166024,0.581130,0.012412,0.107663,-26.809879,1.261795,0.895110,0.019556,-0.766867,0.044487,-0.009104,-0.018292,-0.324899,-0.113413,0.002069,0.142704,-0.055755,0.008412,0.003637,0.018762,0.018205,0.049128,0.015747,0.035439,0.002470,0.008495,0.008771,0.009135,0.004271,0.025732,0.054437,0.006765,0.239371,0.056413,0.032447,0.478573,0.011296,0.097157,1.887538,0.784330,0.699943,0.482004,0.453745,0.339997,0.323626,0.264123,0.286454,0.237711,0.226195,0.226153,0.216598,0.010543,0.005411,0.020312,0.022591,0.041703,0.021987,0.039573,0.004104,0.012276,0.010343,0.010710,0.006317,0.013780,lapel-speech
0.083304,0.005404,3.051744,0.154768,0.166539,0.735929,0.010804,0.132750,-27.415360,1.129242,0.894263,-0.106838,-0.745208,-0.004420,0.085875,-0.068298,-0.329382,-0.095967,-0.001686,0.190769,-0.029973,0.007662,0.004976,0.013770,0.009321,0.040198,0.020635,0.033789,0.002739,0.012143,0.007113,0.007981,0.004699,0.022584,0.071341,0.005508,0.264199,0.067146,0.035071,0.571441,0.009325,0.118741,2.211044,0.794231,0.680787,0.520523,0.418554,0.353835,0.326935,0.264920,0.283975,0.246810,0.235300,0.236017,0.224496,0.009796,0.008543,0.017951,0.012685,0.037404,0.029978,0.040434,0.004255,0.014566,0.008656,0.009331,0.007150,0.014872,lapel-speech
0.075005,0.007846,3.055223,0.151281,0.170855,0.653821,0.011408,0.126274,-26.889375,1.173864,0.932365,0.119201,-0.729256,0.053592,0.131403,-0.041975,-0.286714,-0.083183,0.000546,0.132135,-0.076372,0.008493,0.003876,0.017843,0.016271,0.047650,0.011804,0.037357,0.002226,0.005355,0.008708,0.012342,0.004463,0.024931,0.067783,0.007685,0.245826,0.065063,0.031273,0.580613,0.012374,0.121755,2.106003,0.689650,0.578586,0.444215,0.426369,0.328055,0.313991,0.294075,0.318424,0.219026,0.242049,0.226616,0.213495,0.011511,0.005994,0.018658,0.026393,0.041674,0.017362,0.045963,0.003830,0.006577,0.010394,0.013103,0.007344,0.014492,lapel-speech
0.062946,0.007360,3.053857,0.135539,0.162334,0.572884,0.012430,0.103493,-26.898496,1.228854,0.974352,-0.029150,-0.741802,0.066015,0.077529,-0.048103,-0.347731,-0.127614,-0.002649,0.131670,-0.044015,0.008258,0.003552,0.021256,0.019870,0.050274,0.016639,0.033626,0.002486,0.005992,0.007641,0.008323,0.004019,0.025390,0.048808,0.007226,0.233727,0.051592,0.034152,0.441997,0.012313,0.087688,1.987683,0.760166,0.698836,0.505961,0.457076,0.339222,0.326652,0.256383,0.298340,0.236954,0.227598,0.212072,0.205048,0.010640,0.005357,0.023346,0.025037,0.041351,0.021708,0.038043,0.003961,0.008038,0.009149,0.009608,0.005833,0.013659,lapel-speech
0.069331,0.006406,3.057139,0.138040,0.159742,0.619433,0.011413,0.113261,-27.089713,1.261164,0.927735,-0.066783,-0.725274,0.072059,0.111512,0.005716,-0.346101,-0.147047,-0.007347,0.132288,-0.066135,0.009769,0.004361,0.021185,0.022283,0.044594,0.013524,0.035035,0.002768,0.005706,0.007687,0.008246,0.003644,0.024026,0.056773,0.006599,0.233319,0.055156,0.032420,0.491617,0.010694,0.095853,2.067477,0.789716,0.687146,0.530927,0.478768,0.339968,0.331987,0.274789,0.298338,0.230259,0.211244,0.223403,0.205428,0.011826,0.006880,0.021426,0.028656,0.038511,0.019196,0.039972,0.004204,0.007780,0.009175,0.009376,0.004782,0.013814,lapel-speech
0.079721,0.008194,2.958207,0.157403,0.172481,0.669518,0.009866,0.124312,-27.267341,1.299283,0.881056,0.059196,-0.938759,0.083802,0.168548,0.010662,-0.259520,-0.123794,0.062340,0.059460,0.031673,0.010566,0.004123,0.020510,0.015941,0.038388,0.015251,0.031540,0.002492,0.006757,0.009278,0.011051,0.005263,0.021249,0.058118,0.009692,0.351761,0.055261,0.029839,0.489143,0.008061,0.099832,2.357659,0.714015,0.596421,0.394054,0.493040,0.314344,0.351338,0.258028,0.306234,0.237807,0.225912,0.221880,0.207564,0.013241,0.006172,0.021218,0.020454,0.034343,0.020192,0.035206,0.004180,0.008826,0.010075,0.011955,0.007194,0.012536,lapel-speech
0.068174,0.007005,2.924110,0.153476,0.179900,0.575901,0.008974,0.101376,-27.823384,1.489519,1.026370,0.087523,-0.854643,0.014910,0.119096,0.012243,-0.267397,-0.124363,0.079221,0.046323,0.020528,0.012140,0.004170,0.022806,0.016543,0.041849,0.015942,0.034311,0.002509,0.008200,0.010129,0.012079,0.005203,0.022371,0.048265,0.007660,0.370357,0.050540,0.033193,0.439685,0.006023,0.085866,2.533878,0.736883,0.624412,0.432823,0.452541,0.296977,0.366457,0.255628,0.279910,0.233534,0.241135,0.233897,0.209883,0.015137,0.006356,0.022277,0.021082,0.036577,0.021761,0.034366,0.004401,0.011728,0.010546,0.012417,0.007776,0.011857,lapel-speech
